DATE,ASPNE
2000-01-01,267300
2000-04-01,254800
2000-07-01,296700
2000-10-01,280300
2001-01-01,297600
2001-04-01,301200
2001-07-01,283600
2001-10-01,294700
2002-01-01,305600
2002-04-01,288900
2002-07-01,297100
2002-10-01,320200
2003-01-01,284400
2003-04-01,315200
2003-07-01,313400
2003-10-01,350900
2004-01-01,363900
2004-04-01,333400
2004-07-01,384100
2004-10-01,404400
2005-01-01,396600
2005-04-01,373000
2005-07-01,396500
2005-10-01,426300
2006-01-01,408300
2006-04-01,431200
2006-07-01,454100
2006-10-01,416000
2007-01-01,508600
2007-04-01,404900
2007-07-01,423500
2007-10-01,425400
2008-01-01,464600
2008-04-01,511000
2008-07-01,484300
2008-10-01,395100
2009-01-01,370600
2009-04-01,377300
2009-07-01,437700
2009-10-01,465800
2010-01-01,432000
2010-04-01,432200
2010-07-01,406400
2010-10-01,415500
2011-01-01,409000
2011-04-01,348700
2011-07-01,394700
2011-10-01,381600
2012-01-01,372800
2012-04-01,411800
2012-07-01,428500
2012-10-01,457500
2013-01-01,482200
2013-04-01,480900
2013-07-01,436200
2013-10-01,496200
2014-01-01,458200
2014-04-01,473800
2014-07-01,606900
2014-10-01,605000
2015-01-01,621400
2015-04-01,485000
2015-07-01,526700
2015-10-01,641300
2016-01-01,473900
2016-04-01,541300
2016-07-01,615500
2016-10-01,497000
2017-01-01,645800
2017-04-01,583500
2017-07-01,536200.0
2017-10-01,683200.0
2018-01-01,514600.0
2018-04-01,576600.0
2018-07-01,675000.0
2018-10-01,664600.0
2019-01-01,595700.0
2019-04-01,608200.0
2019-07-01,688600.0
2019-10-01,526900.0
2020-01-01,645200.0
2020-04-01,608300.0
2020-07-01,609000.0
2020-10-01,624200.0
2021-01-01,620200.0
2021-04-01,722900.0
2021-07-01,731500.0
2021-10-01,737900.0
2022-01-01,766400.0
2022-04-01,707000.0
2022-07-01,995200.0
2022-10-01,836300.0
